,Title[1][2],Developer(s),Publisher(s)[1][2][3],Publisher(s)[1][2][3],Release date,Release date
70,Batman Returns,Konami,Konami,Konami,January 1993,1993
71,Battle Chess,Beam Software,Data East,Unreleased,July 1990,Unreleased
72,The Battle of Olympus,Infinity,Brøderbund,Nintendo,December 1989,"September 26, 1991"
73,Battle Tank,Imagineering,Absolute Entertainment,Unreleased,September 1990,Unreleased
74,Battleship,Mindscape,Mindscape,Mindscape,September 1993,1993
75,Battletoads,Rare,Tradewest,Tradewest,June 1991,"February 18, 1993"
76,Battletoads & Double Dragon,Rare,Tradewest,Nintendo,June 1993,1993
77,Beetlejuice,Rare,LJN,Unreleased,May 1991,Unreleased
78,Best of the Best: Championship Karate,Movie Software,Electro Brain,Loriciel,December 1992,1993
79,Bigfoot,Beam Software,Acclaim Entertainment,Acclaim Entertainment,August 1990,"January 24, 1991"
80,Bill & Ted's Excellent Video Game Adventure,Rocket Science Productions,LJN,Unreleased,August 1991,Unreleased
81,Bill Elliott's NASCAR Challenge,Distinctive Software,Konami,Unreleased,December 1991,Unreleased
82,Bionic Commando,Capcom,Capcom,Capcom,December 1988,"October 26, 1990"
83,The Black Bass,Another,Hot-B,Unreleased,September 1989,Unreleased
84,Blades of Steel,Konami,Konami,Konami,December 1988,"November 23, 1990"
85,Blaster Master,Sunsoft,Sunsoft,Sunsoft,November 1988,"April 25, 1991"
86,The Blue Marlin,Hot-B,Hot-B,Unreleased,July 1992,Unreleased
87,The Blues Brothers,Titus Software,Titus Software,Titus Software,September 1992,1992
88,Bo Jackson Baseball,Beam Software,Data East,Unreleased,October 1991,Unreleased
89,Bomberman,Hudson Soft,Hudson Soft,Unreleased,January 1989,Unreleased
90,Bomberman II (NA)Dynablaster (EU),Hudson Soft,Hudson Soft,Hudson Soft,February 1993,1991
91,Bonk's Adventure,AI,Hudson Soft,Unreleased,January 1994,Unreleased
92,Boulder Dash,"Data East, Sakata SAS",JVC Musical Industries,Nintendo,June 1990,1990
93,A Boy and His Blob: Trouble on Blobolonia,Imagineering,Absolute Entertainment,Nintendo,January 1990,1991
94,Bram Stoker's Dracula,Probe Software,Sony Imagesoft,Sony Imagesoft,September 1993,1993
95,Break Time: The National Pool Tour,Opera House,FCI,Unreleased,January 1993,Unreleased
96,BreakThru,Data East,Data East,Unreleased,November 1987,Unreleased
97,Bubble Bobble,Taito,Taito,Taito,November 1988,October 1990
98,Bubble Bobble Part 2,OLMI.T.L,Taito,Unreleased,August 1993,Unreleased
99,Bucky O'Hare,Konami,Konami,Palcom Software,January 1992,"February 18, 1993"
100,The Bugs Bunny Birthday Blowout (NA)The Bugs Bunny Blowout (EU),Kemco,Kemco*Seika,Kemco,September 1990,1990
101,The Bugs Bunny Crazy Castle,Kemco,Kemco*Seika,Unreleased,August 1989,Unreleased
102,Bump 'n' Jump,"Data East, Sakata SAS",Vic Tokai,Unreleased,December 1988,Unreleased
103,Burai Fighter,KID,Taxan,Nintendo,March 1990,1990
104,BurgerTime,"Data East, Sakata SAS",Data East,Unreleased,May 1987,Unreleased
105,Cabal,Zippo Games,Milton Bradley Company,Unreleased,June 1990,Unreleased
106,Caesars Palace,Realtime Associates,Virgin Interactive,Unreleased,December 1992,Unreleased
107,California Games,Rare,Milton Bradley Company,Milton Bradley Company,June 1989,1990
108,Capcom's Gold Medal Challenge '92,Make Software,Capcom,Capcom,August 1992,"June 17, 1993"
109,Captain America and The Avengers,Data East,Data East,Data East,December 1991,1991
110,Captain Planet and the Planeteers,Chris Gray Enterprises,Mindscape,Mindscape,September 1991,"August 20, 1992"
111,Captain Skyhawk,Rare,Milton Bradley Company,Nintendo,June 1990,"May 26, 1994"
112,Casino Kid,SOFEL,SOFEL,Unreleased,October 1989,Unreleased
113,Casino Kid 2,SOFEL,SOFEL,Unreleased,April 1993,Unreleased
114,Castelian,Bits Studios,Triffix,Storm,June 1991,1993
115,Castle of Dragon,Athena,SETA,Unreleased,June 1990,Unreleased
116,Castlequest,ASCII,Nexoft,Unreleased,September 1989,Unreleased
117,Castlevania,Konami,Konami,Konami,May 1987,"December 19, 1988"
118,Castlevania II: Simon's Quest,Konami,Konami,Konami,December 1988,"April 27, 1990"
119,Castlevania III: Dracula's Curse,Konami,Konami,Palcom Software,September 1990,"December 10, 1992"
120,Caveman Games,Painting by Numbers,Data East,Unreleased,October 1990,Unreleased
121,Championship Bowling,Athena,Romstar,Unreleased,December 1989,Unreleased
122,Championship Pool,Bitmasters,Mindscape,Unreleased,October 1993,Unreleased
123,Championship Rally,Human Entertainment,Unreleased,HAL Laboratory,Unreleased,1991
124,Chessmaster,Software Toolworks,Hi Tech Expressions,Nintendo,January 1990,"March 26, 1992"
125,Chip 'n Dale: Rescue Rangers,Capcom,Capcom,Capcom,June 1990,"December 12, 1991"
126,Chip 'n Dale: Rescue Rangers 2,Make Software,Capcom,Capcom,January 1994,"September 29, 1994"
127,Chubby Cherub,TOSE,Bandai,Unreleased,"October 29, 1986",Unreleased
128,Circus Caper,Advance Communication Company,Toho,Unreleased,July 1990,Unreleased
129,City Connection,Jaleco,Jaleco,Jaleco,May 1988,1988
130,Clash at Demonhead,Vic Tokai,Vic Tokai,Unreleased,January 1990,Unreleased
131,Classic Concentration,Softie,GameTek,Unreleased,September 1990,Unreleased
132,Cliffhanger,Spidersoft,Sony Imagesoft,Unreleased,November 1993,Unreleased
133,Clu Clu Land,Nintendo Research & Development 1,Nintendo,Nintendo,"October 18, 1985","February 15, 1987"
134,Cobra Command,Data East,Data East,Unreleased,November 1988,Unreleased
135,Cobra Triangle,Rare,Nintendo,Nintendo,July 1989,"October 25, 1989"
136,Code Name: Viper,"Arc System Works, Capcom",Capcom,Unreleased,March 1990,Unreleased
137,Color a Dinosaur,FarSight Studios,Virgin Interactive,Unreleased,July 1993,Unreleased
138,Commando,Capcom,Capcom,Unreleased,November 1986,Unreleased
