,Title[2][3],Publisher[2][3],Year[2][3]
152,Silver Eagle,Sachen,1994
153,Sklad No.18,A. Chudov,1997
154,Skull & Crossbones,Tengen,1990
155,Solitaire,American Video Entertainment,1992
156,Somari,Ge De Industry Co.,1994
157,Spiritual Warfare,Wisdom Tree,1992
158,Strategist,Sachen,1991
159,Street Heroes,Sachen,1995
160,Stunt Kids,Camerica,1992
161,Sunday Funday,Wisdom Tree,1995
162,Super Mario World,J.Y. Company,1995
163,Super Pang,Sachen,1991
164,Super Pang II,Sachen,1992
165,Super Sprint,Tengen,1989
166,Tagin' Dragon,Bunch Games,1990
167,Taiwan Mahjong,Sachen,1989
168,Taiwan Mahjong II,Sachen,1992
169,Tasac,Sachen,1992
170,Tetris,Tengen,1989
171,Tiles of Fate,American Video Entertainment,1990
172,Time Diver Avenger,Nitra Corporation,1994
173,Toobin',Tengen,1989
174,Toy Story,NT,1997
175,Trolls on Treasure Island,American Video Entertainment,1992
176,Twin Eagle,Joy Van,1989
177,Ugadayka,A. Chudov,1995
178,Ultimate League Soccer,American Video Entertainment,1991
179,The Ultimate Stuntman,Camerica,1990
180,Venice Beach Volleyball,American Video Entertainment,1991
181,Vindicators,Tengen,1989
182,Wally Bear and the NO! Gang,American Video Entertainment,1991
183,Wild Ball,Hwang Shinwei,1991
184,The World of Card Games,Sachen,1990
185,Worm Visitor,Sachen,1992
